COUNTY_,NAME,MUNICIPAL_CODE,STATE,COUNTY,LOCAL,TOTAL
CORTLAND          ,TOWN OF CUYLER                ,1132130,"$2,858.50","$1,050.00",$975.00,"$4,883.50"
CORTLAND          ,TOWN OF FREETOWN              ,1133060,$614.00,-$10.00,$607.00,"$1,211.00"
CORTLAND          ,TOWN OF HARFORD               ,1133720,"$4,044.00",$710.00,"$2,244.00","$6,998.00"
CORTLAND          ,TOWN OF HOMER                 ,1133970,"$54,209.00","$4,230.00","$21,364.50","$79,803.50"
CORTLAND          ,TOWN OF LAPEER                ,1134500,$654.00,$0.00,$481.50,"$1,135.50"
CORTLAND          ,TOWN OF MARATHON              ,1135080,"$70,333.00",$270.00,"$14,720.00","$85,323.00"
CORTLAND          ,TOWN OF PREBLE                ,1136900,"$120,479.00","$2,122.50","$40,495.61","$163,097.11"
CORTLAND          ,TOWN OF SCOTT                 ,1137610,"$3,930.00",$670.00,"$1,743.00","$6,343.00"
CORTLAND          ,TOWN OF SOLON                 ,1137840,"$1,071.00","$1,070.00",$374.00,"$2,515.00"
CORTLAND          ,TOWN OF TAYLOR                ,1138210,$471.00,$300.00,$225.00,$996.00
CORTLAND          ,TOWN OF TRUXTON               ,1138350,"$4,360.00","$1,290.00","$1,516.00","$7,166.00"
CORTLAND          ,TOWN OF VIRGIL                ,1138610,"$96,752.00","$5,400.00","$23,709.00","$125,861.00"
CORTLAND          ,TOWN OF WILLET                ,1139090,"$6,821.00",$541.00,"$2,450.00","$9,812.00"
DELAWARE          ,TOWN OF ANDES                 ,1230230,"$18,055.50",$230.00,"$9,305.50","$27,591.00"
DELAWARE          ,TOWN OF BOVINA                ,1230840,"$3,200.50",$500.00,"$1,807.00","$5,507.50"
DELAWARE          ,TOWN OF COLCHESTER            ,1231820,"$58,330.00",$940.00,"$45,636.00","$104,906.00"
DELAWARE          ,TOWN OF DAVENPORT             ,1232190,"$15,563.00",$250.00,"$11,917.00","$27,730.00"
DELAWARE          ,TOWN OF DELHI                 ,1232270,"$63,342.50","$7,267.00","$78,055.00","$148,664.50"
DELAWARE          ,TOWN OF DEPOSIT               ,1232310,"$37,885.00",-$30.00,"$26,796.00","$64,651.00"
DELAWARE          ,TOWN OF FRANKLIN              ,1233000,"$5,987.50","$1,050.00","$3,158.50","$10,196.00"
DELAWARE          ,TOWN OF HAMDEN                ,1233620,"$4,066.00",-$50.00,"$8,954.00","$12,970.00"
DELAWARE          ,TOWN OF HANCOCK               ,1233680,"$292,999.50","$1,770.00","$146,619.85","$441,389.35"
DELAWARE          ,TOWN OF HARPERSFIELD          ,1233740,"$14,695.00","$1,060.00","$11,422.00","$27,177.00"
DELAWARE          ,TOWN OF KORTRIGHT             ,1234440,"$11,339.00","$1,730.00","$7,488.50","$20,557.50"
DELAWARE          ,TOWN OF MASONVILLE            ,1235180,"$8,281.50","$1,000.00","$5,002.50","$14,284.00"
DELAWARE          ,TOWN OF MEREDITH,1235240,$0.00,$0.00,$0.00,$0.00
DELAWARE          ,TOWN OF MIDDLETOWN            ,1235300,"$80,703.00","$8,710.00","$58,882.00","$148,295.00"
DELAWARE          ,TOWN OF ROXBURY               ,1237270,"$21,786.00","$1,480.00","$12,468.50","$35,734.50"
DELAWARE          ,TOWN OF SIDNEY                ,1237770,"$110,636.50",$500.00,"$48,395.00","$159,531.50"
DELAWARE          ,TOWN OF STAMFORD              ,1238000,"$15,742.00","$1,422.00","$11,738.00","$28,902.00"
DELAWARE          ,TOWN OF TOMPKINS              ,1238290,"$2,987.00",$495.00,"$2,709.00","$6,191.00"
DELAWARE          ,TOWN OF WALTON                ,1238660,"$28,949.00","$3,950.00","$20,788.00","$53,687.00"
DELAWARE          ,VILLAGE OF HANCOCK            ,1242140,"$18,575.00",-$20.00,"$11,517.00","$30,072.00"
DELAWARE          ,VILLAGE OF SIDNEY             ,1244590,"$26,508.00","$6,310.00","$19,894.40","$52,712.40"
DELAWARE          ,VILLAGE OF WALTON             ,1245120,"$50,393.00","$9,460.00","$53,275.00","$113,128.00"
DUTCHESS          ,TOWN OF AMENIA                ,1330180,"$44,168.00","$4,825.00","$45,942.50","$94,935.50"
DUTCHESS          ,TOWN OF BEEKMAN               ,1330580,"$7,829.00",$430.00,"$6,659.00","$14,918.00"
DUTCHESS          ,TOWN OF CLINTON               ,1331760,"$106,610.95","$3,452.50","$178,976.00","$289,039.45"
DUTCHESS          ,TOWN OF DOVER                 ,1332380,"$87,866.00","$8,160.00","$124,619.00","$220,645.00"
DUTCHESS          ,TOWN OF EAST FISHKILL         ,1332480,"$769,617.00","$36,845.00","$983,542.50","$1,790,004.50"
DUTCHESS          ,TOWN OF FISHKILL              ,1332880,"$281,391.00","$16,511.50","$402,988.50","$700,891.00"
DUTCHESS          ,TOWN OF HYDE PARK             ,1334140,"$98,931.00","$22,053.33","$192,809.67","$313,794.00"
DUTCHESS          ,TOWN OF LA GRANGE             ,1334460,"$109,255.00","$23,955.50","$176,050.75","$309,261.25"
DUTCHESS          ,TOWN OF MILAN                 ,1335310,"$343,785.50","$2,745.00","$389,032.00","$735,562.50"
DUTCHESS          ,TOWN OF NORTH EAST            ,1335930,"$30,285.00","$4,150.00","$24,325.00","$58,760.00"
DUTCHESS          ,TOWN OF PAWLING               ,1336450,"$39,642.00","$3,960.00","$69,526.00","$113,128.00"
DUTCHESS          ,TOWN OF PINE PLAINS           ,1336650,"$35,486.50",$250.00,"$44,562.00","$80,298.50"
DUTCHESS          ,TOWN OF PLEASANT VALLEY       ,1336740,"$171,767.00","$8,660.00","$335,787.50","$516,214.50"
DUTCHESS          ,TOWN OF POUGHKEEPSIE          ,1336860,"$590,160.00","$39,625.03","$696,238.56","$1,326,023.59"
DUTCHESS          ,TOWN OF RED HOOK              ,1337030,"$26,071.00","$9,030.00","$33,204.00","$68,305.00"
DUTCHESS          ,TOWN OF RHINEBECK             ,1337070,"$54,878.75","$11,585.00","$82,234.50","$148,698.25"
DUTCHESS          ,TOWN OF STANFORD              ,1338010,"$121,543.00","$1,570.00","$333,364.00","$456,477.00"
DUTCHESS          ,TOWN OF UNION VALE            ,1338470,"$9,601.00","$1,910.00","$8,019.00","$19,530.00"
DUTCHESS          ,TOWN OF WAPPINGER             ,1338680,"$194,151.25","$30,981.00","$287,975.75","$513,108.00"
DUTCHESS          ,TOWN OF WASHINGTON            ,1338740,"$14,483.00","$4,403.00","$22,035.00","$40,921.00"
DUTCHESS          ,VILLAGE OF FISHKILL           ,1341690,"$31,856.00","$3,985.00","$46,609.00","$82,450.00"
DUTCHESS          ,VILLAGE OF PAWLING            ,1343810,"$2,413.00",$550.00,"$5,685.00","$8,648.00"
DUTCHESS          ,VILLAGE OF RED HOOK           ,1344160,"$21,485.00","$7,710.00","$39,980.00","$69,175.00"
DUTCHESS          ,VILLAGE OF RHINEBECK          ,1344190,"$21,114.00","$3,090.00","$28,391.00","$52,595.00"
DUTCHESS          ,VILLAGE OF TIVOLI             ,1344890,"$2,139.00",$280.00,"$4,835.00","$7,254.00"
DUTCHESS          ,VILLAGE OF WAPPINGERS FALLS   ,1345140,"$78,953.00","$5,470.00","$129,739.00","$214,162.00"
ERIE              ,TOWN OF ALDEN                 ,1430070,"$8,432.00","$5,815.51","$51,863.02","$66,110.53"
ERIE              ,TOWN OF AMHERST               ,1430190,"$302,380.00","$29,565.00","$889,304.50","$1,221,249.50"
ERIE              ,TOWN OF AURORA                ,1430400,-$423.50,"$11,330.00","$110,346.86","$121,253.36"
ERIE              ,TOWN OF BOSTON                ,1430830,"$59,663.00","$6,700.00","$189,089.00","$255,452.00"
ERIE              ,TOWN OF BRANT                 ,1430880,"$55,687.44","$6,513.50","$325,655.20","$387,856.14"
ERIE              ,TOWN OF CHEEKTOWAGA           ,1431520,"$390,112.62","$50,476.41","$826,206.57","$1,266,795.60"
ERIE              ,TOWN OF CLARENCE              ,1431640,"$84,515.00","$22,145.50","$266,611.50","$373,272.00"
ERIE              ,TOWN OF COLDEN                ,1431830,"$1,412.00","$1,521.50","$2,386.50","$5,320.00"
ERIE              ,TOWN OF COLLINS               ,1431860,"$10,974.00",$615.00,"$91,735.50","$103,324.50"
ERIE              ,TOWN OF CONCORD               ,1431910,"$33,297.00","$1,601.50","$125,998.50","$160,897.00"
ERIE              ,TOWN OF EDEN                  ,1432540,"$9,390.00","$3,052.50","$116,485.50","$128,928.00"
ERIE              ,TOWN OF ELMA                  ,1432680,"$120,695.00","$5,870.00","$156,740.20","$283,305.20"
ERIE              ,TOWN OF EVANS                 ,1432770,"$47,984.00","$7,480.00","$163,220.00","$218,684.00"
ERIE              ,TOWN OF GRAND ISLAND          ,1433370,"$41,259.35","$5,995.00","$123,915.00","$171,169.35"
ERIE              ,TOWN OF HAMBURG               ,1433610,"$178,908.50","$40,310.50","$694,948.00","$914,167.00"
ERIE              ,TOWN OF HOLLAND               ,1433960,"$5,873.00",$580.00,"$26,989.25","$33,442.25"
ERIE              ,TOWN OF LANCASTER             ,1434480,"$99,403.00","$16,773.50","$186,710.50","$302,887.00"
ERIE              ,TOWN OF MARILLA               ,1435120,"$1,635.00","$1,690.00","$13,705.00","$17,030.00"
ERIE              ,TOWN OF NEWSTEAD              ,1435820,"$42,481.75","$5,905.00","$113,544.43","$161,931.18"
ERIE              ,TOWN OF NORTH COLLINS         ,1435910,"$5,861.50","$1,070.00","$44,771.00","$51,702.50"
ERIE              ,TOWN OF ORCHARD PARK          ,1436170,"$24,873.00","$15,367.50","$253,090.50","$293,331.00"
ERIE              ,TOWN OF SARDINIA              ,1437480,"$17,697.00",$840.00,"$37,913.00","$56,450.00"
ERIE              ,TOWN OF TONAWANDA             ,1438300,"$234,572.22","$22,944.02","$732,686.04","$990,202.28"
ERIE              ,TOWN OF WALES                 ,1438640,"$9,532.00",$300.00,"$16,840.00","$26,672.00"
ERIE              ,TOWN OF WEST SENECA           ,1438970,"$107,466.44","$23,996.53","$754,401.06","$885,864.03"
ERIE              ,VILLAGE OF ALDEN              ,1440060,"$8,558.00","$1,466.50","$20,691.50","$30,716.00"
ERIE              ,VILLAGE OF ANGOLA             ,1440190,"$1,611.00",$480.00,"$3,038.00","$5,129.00"
ERIE              ,VILLAGE OF BLASDELL           ,1440460,"$3,512.00","$2,300.00","$39,020.75","$44,832.75"
ERIE              ,VILLAGE OF DEPEW              ,1441280,"$40,564.00","$9,516.50","$246,968.36","$297,048.86"
ERIE              ,VILLAGE OF HAMBURG            ,1442100,"$4,365.99","$3,410.00","$106,783.00","$114,558.99"
ERIE              ,VILLAGE OF KENMORE            ,1442510,"$24,106.00","$7,576.50","$303,439.50","$335,122.00"
ERIE              ,VILLAGE OF LANCASTER          ,1442600,"$3,144.00","$5,740.00","$20,219.00","$29,103.00"
ERIE              ,VILLAGE OF ORCHARD PARK       ,1443650,"$3,437.00","$3,220.00","$32,565.00","$39,222.00"
ERIE              ,VILLAGE OF SPRINGVILLE        ,1444790,"$25,168.00","$1,680.00","$196,996.00","$223,844.00"
ERIE              ,VILLAGE OF WILLIAMSVILLE      ,1445380,"$10,003.50","$2,470.00","$42,919.50","$55,393.00"
ESSEX             ,TOWN OF CHESTERFIELD          ,1531590,"$166,738.00",$877.00,"$71,610.00","$239,225.00"
ESSEX             ,TOWN OF CROWN POINT           ,1532110,"$26,760.00","$1,070.00","$16,403.00","$44,233.00"
ESSEX             ,TOWN OF ELIZABETHTOWN         ,1532600,"$72,728.00","$2,180.00","$40,060.00","$114,968.00"
ESSEX             ,TOWN OF ESSEX                 ,1532760,"$7,951.00",$800.00,"$3,534.50","$12,285.50"
ESSEX             ,TOWN OF JAY                   ,1534270,"$9,601.00",$600.00,"$4,105.00","$14,306.00"
ESSEX             ,TOWN OF KEENE                 ,1534340,"$131,995.00","$1,550.00","$84,402.50","$217,947.50"
ESSEX             ,TOWN OF LEWIS                 ,1534610,"$73,354.00",$990.00,"$33,842.00","$108,186.00"
ESSEX             ,TOWN OF MINERVA               ,1535370,"$2,170.00",$300.00,$757.50,"$3,227.50"
ESSEX             ,TOWN OF MORIAH                ,1535510,"$44,657.32","$3,320.00","$34,614.68","$82,592.00"
ESSEX             ,TOWN OF NEWCOMB               ,1535710,"$11,322.00",$0.00,"$3,980.00","$15,302.00"
ESSEX             ,TOWN OF NORTH ELBA            ,1535940,"$72,401.00","$6,396.50","$42,288.42","$121,085.92"
ESSEX             ,TOWN OF NORTH HUDSON          ,1535980,"$204,160.00",$160.00,"$84,244.00","$288,564.00"
ESSEX             ,TOWN OF SCHROON               ,1537560,"$339,159.09","$2,251.00","$152,855.25","$494,265.34"
ESSEX             ,TOWN OF ST ARMAND             ,1537350,"$19,012.00","$2,860.00","$13,366.00","$35,238.00"
ESSEX             ,TOWN OF TICONDEROGA           ,1538270,"$83,698.50","$6,067.00","$48,719.00","$138,484.50"
ESSEX             ,TOWN OF WESTPORT              ,1538960,"$24,644.00",$890.00,"$12,149.00","$37,683.00"
ESSEX             ,TOWN OF WILLSBORO             ,1539130,"$5,030.00",$847.00,"$2,203.00","$8,080.00"
ESSEX             ,TOWN OF WILMINGTON            ,1539140,"$14,162.00",$290.00,"$7,390.00","$21,842.00"
ESSEX             ,VILLAGE OF LAKE PLACID        ,1542570,"$63,100.00","$13,626.00","$133,659.00","$210,385.00"
FRANKLIN          ,TOWN OF BANGOR                ,1630500,"$26,856.00","$1,866.00","$12,289.00","$41,011.00"
FRANKLIN          ,TOWN OF BELLMONT              ,1630610,"$2,986.00",$300.00,"$1,156.00","$4,442.00"
FRANKLIN          ,TOWN OF BOMBAY                ,1630810,"$43,668.00","$11,126.00","$22,081.00","$76,875.00"
FRANKLIN          ,TOWN OF BRANDON               ,1630870,$670.00,$490.00,$150.00,"$1,310.00"
FRANKLIN          ,TOWN OF BRIGHTON              ,1630910,"$26,832.00",$20.00,"$8,114.00","$34,966.00"
FRANKLIN          ,TOWN OF BURKE                 ,1631010,"$12,664.50",$310.00,"$5,770.50","$18,745.00"
FRANKLIN          ,TOWN OF CHATEAUGAY            ,1631480,"$20,363.00",$550.00,"$10,137.00","$31,050.00"
FRANKLIN          ,TOWN OF CONSTABLE             ,1631970,"$4,487.00",$0.00,"$1,680.00","$6,167.00"
FRANKLIN          ,TOWN OF DICKINSON             ,1632360,"$10,590.00",$220.00,"$3,702.00","$14,512.00"
FRANKLIN          ,TOWN OF DUANE                 ,1632410,"$11,005.00",-$20.00,"$2,983.00","$13,968.00"
FRANKLIN          ,TOWN OF FORT COVINGTON        ,1632960,"$22,445.00","$1,632.00","$7,878.00","$31,955.00"
FRANKLIN          ,TOWN OF FRANKLIN              ,1633010,"$18,124.00",$600.00,"$5,212.00","$23,936.00"
FRANKLIN          ,TOWN OF HARRIETSTOWN          ,1633750,"$63,111.00","$6,125.00","$32,349.00","$101,585.00"
FRANKLIN          ,TOWN OF MALONE                ,1635000,"$105,323.16","$12,541.50","$60,586.49","$178,451.15"
FRANKLIN          ,TOWN OF MOIRA                 ,1635410,"$30,851.75","$3,622.00","$14,282.50","$48,756.25"
FRANKLIN          ,TOWN OF SANTA CLARA           ,1637450,"$7,634.00",$0.00,"$3,035.00","$10,669.00"
FRANKLIN          ,TOWN OF TUPPER LAKE           ,1630150,"$91,043.25","$1,340.00","$33,265.00","$125,648.25"
FRANKLIN          ,TOWN OF WAVERLY               ,1638790,"$8,653.00",-$50.00,"$3,946.50","$12,549.50"
FRANKLIN          ,TOWN OF WESTVILLE             ,1639010,"$11,670.00","$1,732.00","$7,238.00","$20,640.00"
FRANKLIN          ,VILLAGE OF TUPPER LAKE        ,1644940,"$17,351.30","$4,094.00","$13,054.50","$34,499.80"
FULTON            ,TOWN OF BLEECKER              ,1730760,$432.00,-$10.00,$814.00,"$1,236.00"
FULTON            ,TOWN OF BROADALBIN            ,1730940,"$24,805.00","$5,010.00","$26,336.00","$56,151.00"
FULTON            ,TOWN OF CAROGA                ,1731300,"$8,243.00","$1,090.00","$9,952.00","$19,285.00"
FULTON            ,TOWN OF EPHRATAH              ,1732710,"$6,045.00",$500.00,"$5,689.00","$12,234.00"
FULTON            ,TOWN OF JOHNSTOWN             ,1734320,"$80,513.50","$11,527.00","$65,087.98","$157,128.48"
FULTON            ,TOWN OF MAYFIELD              ,1735200,"$48,585.00","$8,050.00","$35,373.00","$92,008.00"
FULTON            ,TOWN OF NORTHAMPTON           ,1735890,"$15,671.00","$3,110.00","$9,951.00","$28,732.00"
FULTON            ,TOWN OF OPPENHEIM             ,1736130,"$6,563.00",$960.00,"$5,234.00","$12,757.00"
FULTON            ,TOWN OF PERTH                 ,1736540,"$44,543.00","$7,999.00","$22,771.00","$75,313.00"
FULTON            ,TOWN OF STRATFORD             ,1738140,"$2,196.00",-$10.00,"$2,226.00","$4,412.00"
GENESEE           ,TOWN OF ALABAMA               ,1830040,"$22,800.00","$2,846.00","$19,615.00","$45,261.00"
GENESEE           ,TOWN OF ALEXANDER             ,1830080,"$6,639.00","$2,190.00","$11,010.00","$19,839.00"
GENESEE           ,TOWN OF BATAVIA               ,1830550,"$54,740.00","$5,620.00","$108,458.35","$168,818.35"
GENESEE           ,TOWN OF BERGEN                ,1830650,"$15,698.00","$4,090.00","$85,734.00","$105,522.00"
GENESEE           ,TOWN OF BETHANY               ,1830690,"$11,815.00","$4,499.00","$10,208.00","$26,522.00"
GENESEE           ,TOWN OF BYRON                 ,1831070,"$6,800.84","$1,500.00","$23,504.00","$31,804.84"
GENESEE           ,TOWN OF DARIEN                ,1832180,"$21,883.25","$2,782.50","$17,610.87","$42,276.62"
GENESEE           ,TOWN OF ELBA                  ,1832580,"$13,319.00","$1,506.00","$17,138.00","$31,963.00"
GENESEE           ,TOWN OF LE ROY                ,1834600,"$51,286.00","$6,515.50","$104,788.00","$162,589.50"
GENESEE           ,TOWN OF OAKFIELD              ,1836050,"$5,869.25",$950.00,"$5,157.25","$11,976.50"
GENESEE           ,TOWN OF PAVILION              ,1836440,"$39,670.00","$6,111.54","$43,437.00","$89,218.54"
GENESEE           ,TOWN OF PEMBROKE              ,1836470,"$103,680.00","$9,860.00","$267,224.00","$380,764.00"
GENESEE           ,TOWN OF STAFFORD              ,1837990,"$164,783.01","$3,686.00","$137,385.00","$305,854.01"
GENESEE           ,VILLAGE OF CORFU              ,1841140,"$52,061.00","$3,515.00","$240,966.50","$296,542.50"
GREENE            ,TOWN OF ASHLAND               ,1930350,"$2,931.00","$1,640.00","$2,170.00","$6,741.00"
GREENE            ,TOWN OF ATHENS                ,1930360,"$136,687.00","$2,600.00","$119,390.00","$258,677.00"
GREENE            ,TOWN OF CAIRO                 ,1931080,"$160,995.00","$12,590.00","$102,258.50","$275,843.50"
GREENE            ,TOWN OF CATSKILL              ,1931390,"$319,847.00","$16,305.50","$257,077.50","$593,230.00"
GREENE            ,TOWN OF COXSACKIE             ,1932080,"$142,678.00","$8,367.50","$97,302.75","$248,348.25"
GREENE            ,TOWN OF DURHAM                ,1932440,"$14,571.00","$2,965.00","$17,259.00","$34,795.00"
GREENE            ,TOWN OF GREENVILLE            ,1933470,"$13,630.00","$4,731.00","$10,390.00","$28,751.00"
GREENE            ,TOWN OF HALCOTT,1933590,$0.00,$0.00,$0.00,$0.00
GREENE            ,TOWN OF HUNTER                ,1934100,"$63,546.00","$2,702.50","$86,618.50","$152,867.00"
GREENE            ,TOWN OF JEWETT                ,1934300,"$4,381.00",$820.00,"$5,400.00","$10,601.00"
GREENE            ,TOWN OF LEXINGTON             ,1934650,"$4,353.00",$890.00,"$3,248.00","$8,491.00"
GREENE            ,TOWN OF NEW BALTIMORE         ,1935660,"$188,514.50","$3,945.00","$106,198.00","$298,657.50"
GREENE            ,TOWN OF PRATTSVILLE           ,1936890,"$5,121.00",$470.00,"$2,957.50","$8,548.50"
GREENE            ,TOWN OF WINDHAM               ,1939180,"$19,662.00","$3,415.00","$21,217.00","$44,294.00"
GREENE            ,VILLAGE OF CATSKILL           ,1940820,"$12,274.00","$1,383.00","$12,096.00","$25,753.00"
GREENE            ,VILLAGE OF TANNERSVILLE       ,1944840,"$19,750.00",$540.00,"$50,185.00","$70,475.00"
HAMILTON          ,TOWN OF ARIETTA               ,2030310,"$13,819.00",$490.00,"$5,365.00","$19,674.00"
HAMILTON          ,TOWN OF BENSON                ,2030630,$816.00,$490.00,"$1,385.00","$2,691.00"
HAMILTON          ,TOWN OF HOPE                  ,2033990,"$3,014.00",$0.00,"$2,287.00","$5,301.00"
HAMILTON          ,TOWN OF INDIAN LAKE           ,2034160,"$50,113.00","$1,070.00","$31,419.00","$82,602.00"
HAMILTON          ,TOWN OF INLET                 ,2034170,"$10,876.00",$980.00,"$6,910.00","$18,766.00"
HAMILTON          ,TOWN OF LAKE PLEASANT         ,2034470,"$14,777.00",$15.00,"$11,830.50","$26,622.50"
HAMILTON          ,TOWN OF LONG LAKE             ,2034830,"$98,910.00","$3,230.00","$43,753.50","$145,893.50"
HAMILTON          ,TOWN OF MOREHOUSE             ,2035500,"$1,383.00",$50.00,$225.00,"$1,658.00"
HAMILTON          ,TOWN OF WELLS                 ,2038860,"$27,947.00",$282.00,"$16,031.50","$44,260.50"
HERKIMER          ,TOWN OF COLUMBIA              ,2131890,"$15,250.00","$1,100.00","$13,700.00","$30,050.00"
HERKIMER          ,TOWN OF DANUBE                ,2132170,"$82,835.00",$0.00,"$33,260.00","$116,095.00"
HERKIMER          ,TOWN OF FAIRFIELD             ,2132800,"$9,707.00","$1,190.00","$6,124.00","$17,021.00"
HERKIMER          ,TOWN OF FRANKFORT             ,2132990,"$219,630.00","$11,993.00","$145,224.00","$376,847.00"
HERKIMER          ,TOWN OF GERMAN FLATTS         ,2133250,"$111,156.50","$6,945.00","$68,934.00","$187,035.50"
HERKIMER          ,TOWN OF HERKIMER              ,2133890,"$61,853.00","$5,200.00","$39,655.00","$106,708.00"
HERKIMER          ,TOWN OF LITCHFIELD            ,2134740,"$2,711.00",$500.00,"$2,673.00","$5,884.00"
HERKIMER          ,TOWN OF LITTLE FALLS          ,2134750,"$24,249.00",$990.00,"$13,732.00","$38,971.00"
HERKIMER          ,TOWN OF MANHEIM               ,2135050,"$13,220.14","$2,980.00","$17,129.00","$33,329.14"
HERKIMER          ,TOWN OF NEWPORT               ,2135800,"$10,066.00","$1,490.00","$6,288.00","$17,844.00"
HERKIMER          ,TOWN OF NORWAY                ,2136020,"$2,986.00","$1,300.00","$1,971.00","$6,257.00"
HERKIMER          ,TOWN OF OHIO                  ,2136070,"$9,066.50","$4,225.00","$2,953.00","$16,244.50"
HERKIMER          ,TOWN OF RUSSIA                ,2137320,"$18,117.50",$890.00,"$9,878.00","$28,885.50"
HERKIMER          ,TOWN OF SALISBURY             ,2137400,"$5,711.00",$970.00,"$4,100.50","$10,781.50"
HERKIMER          ,TOWN OF SCHUYLER              ,2137570,"$390,200.30","$9,763.50","$182,028.36","$581,992.16"
HERKIMER          ,TOWN OF STARK                 ,2138020,$489.00,$500.00,$406.00,"$1,395.00"
HERKIMER          ,TOWN OF WARREN                ,2138700,"$3,660.00",$90.00,"$1,782.00","$5,532.00"
HERKIMER          ,TOWN OF WEBB                  ,2138840,"$54,063.00","$6,512.50","$42,203.00","$102,778.50"
HERKIMER          ,TOWN OF WINFIELD              ,2139200,"$13,318.00","$2,060.00","$7,635.00","$23,013.00"
HERKIMER          ,VILLAGE OF HERKIMER           ,2142220,"$104,265.00","$13,590.50","$76,205.00","$194,060.50"
HERKIMER          ,VILLAGE OF ILION              ,2142430,"$34,528.46","$9,380.00","$26,736.00","$70,644.46"
JEFFERSON         ,TOWN OF ADAMS                 ,2230010,"$170,201.50","$2,088.00","$49,563.80","$221,853.30"
JEFFERSON         ,TOWN OF ALEXANDRIA            ,2230090,"$207,211.50","$5,350.00","$69,231.50","$281,793.00"
JEFFERSON         ,TOWN OF ANTWERP               ,2230270,"$41,500.00",$760.00,"$13,680.00","$55,940.00"
JEFFERSON         ,TOWN OF BROWNVILLE            ,2230980,"$35,372.00","$2,100.00","$10,268.50","$47,740.50"
JEFFERSON         ,TOWN OF CAPE VINCENT          ,2231260,"$8,430.50",$830.00,"$3,452.50","$12,713.00"
JEFFERSON         ,TOWN OF CHAMPION              ,2231430,"$85,339.00","$4,500.00","$22,291.50","$112,130.50"
JEFFERSON         ,TOWN OF CLAYTON               ,2231710,"$42,232.00","$3,680.00","$10,208.00","$56,120.00"
JEFFERSON         ,TOWN OF ELLISBURG             ,2232670,"$138,259.25",$270.00,"$41,126.25","$179,655.50"
JEFFERSON         ,TOWN OF HENDERSON             ,2233870,"$12,071.00",$980.00,"$3,845.00","$16,896.00"
JEFFERSON         ,TOWN OF HOUNSFIELD            ,2234060,"$26,487.25","$2,002.00","$16,589.75","$45,079.00"
JEFFERSON         ,TOWN OF LE RAY                ,2234590,"$266,244.00","$9,733.47","$79,302.50","$355,279.97"
JEFFERSON         ,TOWN OF LORRAINE              ,2234840,"$3,489.25",$400.00,$750.75,"$4,640.00"
JEFFERSON         ,TOWN OF LYME                  ,2234890,"$7,082.00",$600.00,"$3,467.00","$11,149.00"
JEFFERSON         ,TOWN OF ORLEANS               ,2236180,"$123,756.50",$910.00,"$39,193.00","$163,859.50"
JEFFERSON         ,TOWN OF PAMELIA               ,2236380,"$203,012.00","$5,710.00","$87,115.50","$295,837.50"
JEFFERSON         ,TOWN OF PHILADELPHIA          ,2236590,"$19,761.00",$780.00,"$7,134.50","$27,675.50"
JEFFERSON         ,TOWN OF RODMAN                ,2237190,"$27,953.00",$300.00,"$8,685.00","$36,938.00"
JEFFERSON         ,TOWN OF RUTLAND               ,2237330,"$33,897.25","$3,480.00","$10,819.75","$48,197.00"
JEFFERSON         ,TOWN OF THERESA               ,2238220,"$23,192.00",$570.00,"$9,302.00","$33,064.00"
JEFFERSON         ,TOWN OF WATERTOWN             ,2238770,"$175,697.50","$5,622.50","$73,887.00","$255,207.00"
JEFFERSON         ,TOWN OF WILNA                 ,2239150,"$39,915.00","$5,380.00","$8,830.50","$54,125.50"
JEFFERSON         ,TOWN OF WORTH,2239270,$0.00,$0.00,$0.00,$0.00
JEFFERSON         ,VILLAGE OF ADAMS              ,2240010,"$15,813.00",$953.00,"$5,919.00","$22,685.00"
JEFFERSON         ,VILLAGE OF ALEXANDRIA BAY     ,2240080,"$5,975.00","$1,180.00","$2,976.00","$10,131.00"
JEFFERSON         ,VILLAGE OF CARTHAGE           ,2240760,"$34,314.00","$2,936.00","$16,430.00","$53,680.00"
JEFFERSON         ,VILLAGE OF CLAYTON            ,2241000,"$12,460.00","$1,530.00","$6,531.00","$20,521.00"
LEWIS             ,TOWN OF CROGHAN               ,2332100,"$18,941.00",$660.00,"$8,975.40","$28,576.40"
LEWIS             ,TOWN OF DENMARK               ,2332280,"$54,224.00","$4,101.00","$34,184.00","$92,509.00"
LEWIS             ,TOWN OF DIANA                 ,2332340,"$88,206.00","$1,030.00","$52,148.00","$141,384.00"
LEWIS             ,TOWN OF GREIG                 ,2333510,"$10,456.00","$1,410.00","$4,488.50","$16,354.50"
LEWIS             ,TOWN OF HARRISBURG            ,2333760,"$10,055.00",$0.00,"$8,172.00","$18,227.00"
LEWIS             ,TOWN OF LEWIS                 ,2334620,"$37,649.00","$1,300.00","$33,879.00","$72,828.00"
LEWIS             ,TOWN OF LEYDEN                ,2334660,"$21,349.94",$775.00,"$11,564.00","$33,688.94"
LEWIS             ,TOWN OF LOWVILLE              ,2334860,"$17,210.00","$1,370.00","$7,991.00","$26,571.00"
LEWIS             ,TOWN OF LYONSDALE             ,2334920,"$2,928.00",-$20.00,"$1,430.00","$4,338.00"
LEWIS             ,TOWN OF MARTINSBURG           ,2335160,"$41,087.00","$1,225.00","$20,090.50","$62,402.50"
LEWIS             ,TOWN OF MONTAGUE              ,2335430,"$1,697.00",$0.00,"$1,789.00","$3,486.00"
